"cmd","attr","lhs","rhs","verbose","raw","tag","setting_source"
n,,k,cursor N lines upward(cursor movement command),,"|k|		k		1  cursor N lines upward
",k,builtin
n,,l,cursor N chars to the right(cursor movement command),,"|l|		l		1  cursor N chars to the right
",l,builtin
n,,m{A-Za-z},set mark {A-Za-z} at cursor position,,"|m|		m{A-Za-z}	   set mark {A-Za-z} at cursor position
",m,builtin
n,,n,repeat the latest '/' or '?' N times(cursor movement command),,"|n|		n		1  repeat the latest '/' or '?' N times
",n,builtin
n,,o,"begin a new line below the cursor and insert text, repeat N times(can be undone/redone)",,"|o|		o		2  begin a new line below the cursor and insert text, repeat N times
",o,builtin
n,,"{""+register}p",put the text [from register x] after the cursor N times(can be undone/redone),,"|p|		[""x]p		2  put the text [from register x] after the cursor N times
",p,builtin
n,,"q{0-9a-zA-Z""}","record typed characters into named register {0-9a-zA-Z""} (uppercase to append)",,"|q|		q{0-9a-zA-Z""}	   record typed characters into named register {0-9a-zA-Z""} (uppercase to append)
",q,builtin
n,,q,(while recording) stops recording,,"|q|		q		   (while recording) stops recording
",q,builtin
n,,q:,edit : command-line in command-line window,,"|q:|		q:		   edit : command-line in command-line window
",q:,builtin
n,,q/,edit / command-line in command-line window,,"|q/|		q/		   edit / command-line in command-line window
",q/,builtin
n,,q?,edit ? command-line in command-line window,,"|q?|		q?		   edit ? command-line in command-line window
",q?,builtin
n,,r{char},replace N chars with {char}(can be undone/redone),,"|r|		r{char}		2  replace N chars with {char}
",r,builtin
n,,"{""+register}s",(substitute) delete N characters [into register x] and start insert(can be undone/redone),,"|s|		[""x]s		2  (substitute) delete N characters [into register x] and start insert
",s,builtin
n,,t{char},cursor till before Nth occurrence of {char} to the right(cursor movement command),,"|t|		t{char}		1  cursor till before Nth occurrence of {char} to the right
",t,builtin
n,,u,undo changes(can be undone/redone),,"|u|		u		2  undo changes
",u,builtin
n,,v,start characterwise Visual mode,,"|v|		v		   start characterwise Visual mode
",v,builtin
n,,w,cursor N words forward(cursor movement command),,"|w|		w		1  cursor N words forward
",w,builtin
n,,"{""+register}x",delete N characters under and after the cursor [into register x](can be undone/redone),,"|x|		[""x]x		2  delete N characters under and after the cursor [into register x]
",x,builtin
n,,"{""+register}y{motion}",yank Nmove text [into register x],,"|y|		[""x]y{motion}	   yank Nmove text [into register x]
",y,builtin
n,,"{""+register}yy",yank N lines [into register x],,"|yy|		[""x]yy		   yank N lines [into register x]
",yy,builtin
n,,z{char},"commands starting with 'z', see |z| below",,"|z|		z{char}		   commands starting with 'z', see |z| below
",z,builtin
n,,{,cursor N paragraphs backward(cursor movement command),,"|{|		{		1  cursor N paragraphs backward
",{,builtin
n,,|,cursor to column N(cursor movement command),,"|bar|		|		1  cursor to column N
",bar,builtin
n,,},cursor N paragraphs forward(cursor movement command),,"|}|		}		1  cursor N paragraphs forward
",},builtin
n,,~,'tildeop' off: switch case of N characters under cursor and move the cursor N characters to the right(can be undone/redone),,"|~|		~		2  'tildeop' off: switch case of N characters under cursor and move the cursor N characters to the right
",~,builtin
n,,~{motion},'tildeop' on: switch case of Nmove text,,"|~|		~{motion}	   'tildeop' on: switch case of Nmove text
",~,builtin
n,,<C-End>,"same as ""G""(cursor movement command)",,"|<C-End>|	<C-End>		1  same as ""G""
",<C-End>,builtin
n,,<C-Home>,"same as ""gg""(cursor movement command)",,"|<C-Home>|	<C-Home>	1  same as ""gg""
",<C-Home>,builtin
n,,<C-Left>,"same as ""b""(cursor movement command)",,"|<C-Left>|	<C-Left>	1  same as ""b""
",<C-Left>,builtin
n,,<C-LeftMouse>,""":ta"" to the keyword at the mouse click",,"|<C-LeftMouse>|	<C-LeftMouse>	   "":ta"" to the keyword at the mouse click
",<C-LeftMouse>,builtin
n,,<C-Right>,"same as ""w""(cursor movement command)",,"|<C-Right>|	<C-Right>	1  same as ""w""
",<C-Right>,builtin
n,,<C-Tab>,"same as ""g<Tab>""",,"|<C-Tab>|	<C-Tab>		   same as ""g<Tab>""
",<C-Tab>,builtin
n,,"{""+register}<Del>","same as ""x""(can be undone/redone)",,"|<Del>|		[""x]<Del>	2  same as ""x""
",<Del>,builtin
n,,{count}<Del>,remove the last digit from {count},,"|N<Del>|	{count}<Del>	   remove the last digit from {count}
",N<Del>,builtin
n,,<Down>,"same as ""j""(cursor movement command)",,"|<Down>|	<Down>		1  same as ""j""
",<Down>,builtin
n,,<End>,"same as ""$""(cursor movement command)",,"|<End>|		<End>		1  same as ""$""
",<End>,builtin
n,,<F1>,same as <Help>,,"|<F1>|		<F1>		   same as <Help>
",<F1>,builtin
n,,<Help>,open a help window,,"|<Help>|	<Help>		   open a help window
",<Help>,builtin
n,,<Home>,"same as ""0""(cursor movement command)",,"|<Home>|	<Home>		1  same as ""0""
",<Home>,builtin
n,,<Insert>,"same as ""i""(can be undone/redone)",,"|<Insert>|	<Insert>	2  same as ""i""
",<Insert>,builtin
n,,<Left>,"same as ""h""(cursor movement command)",,"|<Left>|	<Left>		1  same as ""h""
",<Left>,builtin
